"","References","Value","Footprint","Quantity"
1,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C25, C27, C29","C0402C104K3RACTU","CAPC1005X55N",18
2,"C17, C23","GRM188R61C225KE15D","CAPC1608X90N",2
3,"C18, C24","GRM155R61E105KA12D","CAPC1005X55N",2
4,"C19, C20","GRM1555C1H180JA01D","CAPC1005X55N",2
5,"C21, C22","GRM1555C1H7R0DA01D","CAPC1005X55N",2
6,"C26","GRM21BR61A226ME51L","CAPC2012X140N",1
7,"C28","GRM1555C1H222JA01D","CAPC1005X55N",1
8,"R3, R6, R12, R17, R18, R19, R20, R26, R27, R28, R29, R30","RC0402FR-0710KL","RESC1005X40N",12
9,"R1, R5, R8, R10, R25","RC0402FR-07100KL","RESC1005X40",5
10,"R2, R7, R15, R21","RC0402FR-07100RL","RESC1005X40",4
11,"R16, R22, R23, R24","RC0402FR-072K2L","RESC1005X40N",4
12,"R4, R11","RC0402FR-075K1L","RESC1005X40N",2
13,"R9","RC0402FR-0720KL","RESC1005X40N",1
14,"L1","LPS4018-103","IND_LPS4018-103",1
15,"L2","L_Ferrite","L_0402_1005Metric",1
16,"D1","D_Schottky","SDO_SOD-123_MCC",1
17,"U1","STM32H743VIT6","LQFP100-14x14mm",1
18,"U2","BMI088","QFN_BMI085_BOS",1
19,"U3","FM25V02A-GTR","SOIC127P602X172-8N",1
20,"U4","USBLC6-2SC6","SOT-23-6",1
21,"U5","BMP390","10LGA_2X2X0p75_BOS",1
22,"U8","AP2112K-3.3TRG1","SOT95P285X140-5N",1
23,"U9","MP1584EN","SOIC127P600X170-9N",1
24,"Y1","ABM8-272-T3","XTAL_ABM8-272-T3",1
25,"Y2","CM315D32768DZFT","XTAL_CM315D32768DZFT",1
26,"J3, J7","BM04B-GHS-TBT","CONN_BM04B-GHS-TBT_JST",2
27,"J4, J6","BM06B-GHS-TBT","BM06B-GHS-TBT",2
28,"J1","104031-0811","MOLEX_104031-0811",1
29,"J2","USB-C","HRO_TYPE-C-31-M-12",1
30,"J5","BDL-108-X-X","SAMTEC_BDL-108-X-X",1